         165190 function calls (158580 primitive calls) in 2.098 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        9    0.000    0.000    0.000    0.000 typing.py:184(_type_check)
       15    0.000    0.000    0.000    0.000 __init__.py:135(__init__)
       14    0.000    0.000    0.000    0.000 __init__.py:330(_raw_path)
        3    0.000    0.000    0.000    0.000 dataclasses.py:541(__annotate__)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
        4    0.000    0.000    0.000    0.000 tokenization_utils_tokenizers.py:585(added_tokens_decoder)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:966(path_stats)
        5    0.000    0.000    0.000    0.000 __init__.py:172(__truediv__)
        1    0.000    0.000    0.000    0.000 tokenization_utils_tokenizers.py:635(_convert_encoding)
       33    0.000    0.000    0.000    0.000 {method '__setstate__' of 'tokenizers.AddedToken' objects}
        4    0.000    0.000    0.000    0.000 {method 'get_added_tokens_decoder' of 'tokenizers.Tokenizer' objects}
        2    0.000    0.000    0.000    0.000 <frozen _collections_abc>:963(update)
    22/18    0.000    0.000    0.000    0.000 tokenization_utils_base.py:1274(__getattr__)
        2    0.000    0.000    0.000    0.000 typing.py:564(__getitem__)
        5    0.000    0.000    0.000    0.000 __init__.py:157(with_segments)
        1    0.000    0.000    0.000    0.000 tokenizer_utils.py:220(finalize)
        1    0.000    0.000    0.000    0.000 __init__.py:1592(findCaller)
        3    0.000    0.000    0.000    0.000 modeling_rope_utils.py:657(standardize_rope_params)
       82    0.000    0.000    0.000    0.000 _parser.py:168(__getitem__)
        2    0.000    0.000    0.000    0.000 typing.py:743(Optional)
       53    0.000    0.000    0.000    0.000 inspect.py:196(ismethoddescriptor)
        1    0.000    0.000    0.000    0.000 {built-in method posix.scandir}
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:424(_classify_pyc)
       16    0.000    0.000    0.000    0.000 tokenizer_utils.py:389(__setattr__)
